ImageName,ImageText,Gender,General,Descr,Detail,KeyArea,Magnification,Location,Host,Species,ScientificName_accepted,ScientificName,Class,Order,Family,Genus
https://nematode.unl.edu/achroma1.jpg,"Achromadora sp.
Jumbo Valley Fen
Cherry Co., NE
cc MMA. Szalanski",female,,,amphid,Anterior,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achroma10.jpg,"Achromadora sp.
Jumbo Valley Fen
Cherry Co., NE
cc MMA. Szalanski",female,,,head,Anterior,400X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achroma2.jpg,"Achromadora sp._x000D_
cuticle_x000D_
A, Saalanski",female,,,cuticle,,400X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achroma3.jpg,"Achromadora sp._x000D_
Jumbo Valley Fen_x000D_
Cherry Co., NE_x000D_
cc MMA. Szalanski",female,,,head,Anterior,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achroma4.jpg,"vulva_x000D_
Jumbo Valley fen_x000D_
Cherry Co. NE._x000D_
J: Saalanski ]",female,,,vulva,,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achroma5.jpg,"Achromadora mips_x000D_
amphid_x000D_
o_x000D_
Jumbo Valley fen_x000D_
Cherry Co. NE._x000D_
ca AY Szralanski",female,,,amphid,Anterior,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora mips,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achroma6.jpg,"Achromadora ee_x000D_
corpus_x000D_
Jumbo Valley fem_x000D_
Gemca NE_x000D_
. Szalanski_x000D_
2000",female,,,corpus,,400X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora ee,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achroma7.jpg,"_ Achromadora sp. __x000D_
_ Jumbo Valley Fen_x000D_
Ã¢â‚¬ËœCherry Co., NE_x000D_
cc MMA. Szala",female,,,esophagus,Anterior,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,_ Achromadora,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achroma8.jpg,"Achromadora sp._x000D_
Jumbo Valley Fen_x000D_
Cherry Co., NE_x000D_
cc MMA. Szalanski",female,,,head,Anterior,1000X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achroma9.jpg,"Ã¢â‚¬â€ madora eps_x000D_
heaÃ¢â‚¬â„¢_x000D_
i Valley fen_x000D_
Cherry Co. NE._x000D_
A. Saalanski_x000D_
2000",female,,,head,Anterior,400X,"Cherry County, Nebraska",Jumbo Valley Fen,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrsp1.jpg,"Achromadora sp._x000D_
female cuticle 1000X_x000D_
9 Mile Prairie Leadplant_x000D_
Peter Mullin cc 19.99_x000D_
ioOum",female,,,cuticle,,1000X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrsp2.jpg,"Achromadora sp._x000D_
female 100X_x000D_
9 Mile Prairie_x000D_
ere_x000D_
100 jim",female,,,body,,100X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrsp3.jpg,"Achromadora le_x000D_
female vulva 400)_x000D_
9 Mile Prairie Leadplant_x000D_
20um_x000D_
Peter Mullin ce 1999",female,,,vulva,,400X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrsp4.jpg,"Ã‚Â°_x000D_
Achromadora_x000D_
female head 400)_x000D_
9 Mile Prairie Leadplant_x000D_
Peter Mullin ce 1999",female,,,head,Anterior,400X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrsp5.jpg,"Peter Mullin cc 1999_x000D_
20m_x000D_
Achromadora sp._x000D_
female tail +00X_x000D_
9 Mile Prairie Leadplant",female,,,tail,,400X,"Nine Mile Prairie, Lancaster County, Nebraska",Leadplant,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrsp6.jpg,"Ã‚Â© Peter Mullin 72000
Achromadora sp.
female head +00X
Konza Prairie
Fragrant sumac",female,,,head,Anterior,400X,"Konza Prairie, Kansas",Fragrant sumac,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrsp7.jpg,"Achromadora sp._x000D_
female amphid +00,_x000D_
Konza Prairie_x000D_
Fragrant sumac_x000D_
Ã‚Â© Peter Mullin/2000",female,,,amphid,Anterior,400X,"Konza Prairie, Kansas",Fragrant sumac,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrsp8.jpg,"Achromadora sp._x000D_
female anus +00X_x000D_
Konza Prairie_x000D_
Fragrant sumac_x000D_
20m_x000D_
Ã‚Â© Peter Mullin/2000",female,,,anus,,400X,"Konza Prairie, Kansas",Fragrant sumac,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrsp9.jpg,"Ã‚Â© Peter Mullin/2000,_x000D_
Achromadora sp._x000D_
female tail tip oak_x000D_
Konza Prairie_x000D_
Fragrant sumac_x000D_
20 fim",female,,,tail tip,,400X,"Konza Prairie, Kansas",Fragrant sumac,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrspk1.jpg,"Achromadora sp-_x000D_
female amphid +00X_x000D_
Konza Prairie_x000D_
96W 35"" 39N05' Big bluestem_x000D_
20m_x000D_
Ã‚Â© Peter Mullin/2000",female,,,amphid,Anterior,400X,"Konza Prairie, Kansas",Big bluestem,Achromadora sp-,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrspk10.jpg,"Achromadora a_x000D_
juvenile cuticle 1000;_x000D_
Keares [reine_x000D_
estes_x000D_
96 35Ã‚Â° 39No5'_x000D_
Ã‚Â© Peter Mullin/z000",juvenile,,,cuticle,,1000X,"Konza Prairie, Kansas",Big bluestem,Achromadora a,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrspk11.jpg,"Achromadora sp._x000D_
juvenile head 400)_x000D_
Konza Prairie_x000D_
Big bluestem/|_ittle bluestem_x000D_
96WW 35"" 39No5""_x000D_
Ã‚Â© Peter Mullin/2000",juvenile,,,head,Anterior,400X,"Konza Prairie, Kansas",Big bluestem/|_ittle bluestem,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrspk12.jpg,"Ã‚Â© Peter Mullin/2000_x000D_
96 35"" 39No5_x000D_
1pm_x000D_
Achromadora sp._x000D_
juvenile head 1000X_x000D_
Konza Prairie_x000D_
Big bluestem/{_ittle bluestem",juvenile,,,head,Anterior,1000X,"Konza Prairie, Kansas",Big bluestem,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrspk14.jpg,"Achromadora sp._x000D_
juvenile cuticle 1000,_x000D_
Konza Prairie_x000D_
Big bluestem/|_ittle bluestem_x000D_
96WW 35* 39N05'_x000D_
10pm_x000D_
Ã‚Â© Peter Mullin/z000",juvenile,,,cuticle,,1000X,"Konza Prairie, Kansas",Big bluestem/|_ittle bluestem,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrspk15.jpg,"20m_x000D_
96 35"" 39No5""_x000D_
Achromadora sp._x000D_
female head 400X,_x000D_
(ere ane_x000D_
Pre bluceten/Tluconass",female,,,head,Anterior,400X,"Konza Prairie, Kansas",Big bluestem/|_ittle bluestem,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrspk16.jpg,"Achromadora sp._x000D_
female tail 400X_x000D_
20m_x000D_
Konza Prairie_x000D_
ste blue ctary/ Plveep ace_x000D_
96 35"" 39No5'_x000D_
Ã‚Â© Peter Mullin/2000",female,,,tail,,400X,"Konza Prairie, Kansas",Big bluestem/|_ittle bluestem,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrspk17.jpg,"Achromadora sp._x000D_
vulva 400X_x000D_
Konza Prairie_x000D_
Big bluesten/Bluesgrass_x000D_
96W 35Ã‚Â° 39No5'_x000D_
20m_x000D_
Ã‚Â© Peter Mullin/z000",female,,,vulva,,400X,"Konza Prairie, Kansas",Big bluestem/|_ittle bluestem,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrspk18.jpg,"Achromadora sp.
vulva +00X
Ã‚Â© Peter Mullin/2000 96 35"" 39N03'
Konza Prairie
Bluesgrass",female,,,vulva,,400X,"Konza Prairie, Kansas",Bluesgrass,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrspk19.jpg,"Achromadora sp-_x000D_
female tail 400X_x000D_
Konza Prairie_x000D_
fee nese_x000D_
96W 35Ã‚Â° 39No5'_x000D_
Ã‚Â© Peter Mullin/2000_x000D_
20m",female,,,tail,,400X,"Konza Prairie, Kansas",Big bluestem,Achromadora sp-,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrspk2.jpg,"Ã‚Â© Peter Mullin/z000_x000D_
96WW 35Ã‚Â° 39No5'_x000D_
20m_x000D_
Achromadora SP._x000D_
Female head 400X_x000D_
Konza Prairie_x000D_
Byellvest ay",female,,,head,Anterior,400X,"Konza Prairie, Kansas",,Achromadora SP.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrspk20.jpg,"Achromadora sp._x000D_
vulva +00X_x000D_
Konza Prairie_x000D_
Dyed_x000D_
96WW 35"" 39No5'_x000D_
20m_x000D_
Ã‚Â© Peter Mullin/2000",female,,,vulva,,400X,"Konza Prairie, Kansas",,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
https://nematode.unl.edu/achrspk21.jpg,"Achromadora sp._x000D_
female amphid 400X_x000D_
orm Fete_x000D_
Bg blecceen_x000D_
96WN 55""_x000D_
39Nos""_x000D_
20m_x000D_
Ã‚Â© Peter Mullin/2000",female,,,amphid,Anterior,400X,"Konza Prairie, Kansas",,Achromadora sp.,Achromadora,Achromadora,Chromadorea,Chromadorida,Achromadoridae,Achromadora
